year,class_code,class_name,area_km2,percent
1987,0,Water,1653.5493,36.05528323562392
1987,1,Trees,2689.1567999999997,58.63647977656552
1987,2,Grass,231.1614,5.040424104768667
1987,3,Flooded vegetation,0.0,0.0
1987,4,Crops,7.4357999999999995,0.16213600349469615
1987,5,Shrub and scrub,0.0,0.0
1987,6,Built,0.747,0.016288172706438852
1987,7,Bare,4.0995,0.0893887068407578
1987,8,Snow and ice,0.0,0.0
1992,0,Water,1653.5493,36.05528323562392
1992,1,Trees,2689.1567999999997,58.63647977656552
1992,2,Grass,231.1614,5.040424104768667
1992,3,Flooded vegetation,0.0,0.0
1992,4,Crops,7.4357999999999995,0.16213600349469615
1992,5,Shrub and scrub,0.0,0.0
1992,6,Built,0.747,0.016288172706438852
1992,7,Bare,4.0995,0.0893887068407578
1992,8,Snow and ice,0.0,0.0
1997,0,Water,1653.5493,36.05528323562392
1997,1,Trees,2676.1779,58.35347768186726
1997,2,Grass,242.26919999999998,5.282627270482966
1997,3,Flooded vegetation,0.0,0.0
1997,4,Crops,7.3917,0.16117441257588228
1997,5,Shrub and scrub,0.0,0.0
1997,6,Built,0.8307,0.018113233021738624
1997,7,Bare,5.931,0.12932416642823136
1997,8,Snow and ice,0.0,0.0
2000,0,Water,1653.5493,36.05528323562392
2000,1,Trees,2685.4847999999997,58.55641261434592
2000,2,Grass,155.7783,3.3967119870353994
2000,3,Flooded vegetation,0.162,0.0035323748038060157
2000,4,Crops,7.2081,0.15717105446490212
2000,5,Shrub and scrub,0.0,0.0
2000,6,Built,7.0461,0.1536386796610961
2000,7,Bare,76.9212,1.6772500540649586
2000,8,Snow and ice,0.0,0.0
2005,0,Water,1653.5493,36.05528323562392
2005,1,Trees,2687.3082,58.5961714551932
2005,2,Grass,155.7657,3.3964372467728814
2005,3,Flooded vegetation,0.0936,0.002040927664421254
2005,4,Crops,7.2936,0.15903536338913307
2005,5,Shrub and scrub,0.0,0.0
2005,6,Built,5.4944999999999995,0.1198063787624207
2005,7,Bare,76.64489999999999,1.671225392594023
2005,8,Snow and ice,0.0,0.0
2010,0,Water,1653.5493,36.05528323562392
2010,1,Trees,2687.5719,58.60192137640162
2010,2,Grass,155.7918,3.397006351602384
2010,3,Flooded vegetation,0.09899999999999999,0.002158673491214788
2010,4,Crops,7.2837,0.1588194960400116
2010,5,Shrub and scrub,0.0,0.0
2010,6,Built,5.2119,0.11364434716022577
2010,7,Bare,76.6422,1.6711665196806262
2010,8,Snow and ice,0.0,0.0
