year,dataset,Water,Trees,Grass,Flooded vegetation,Crops,Shrub and scrub,Built,Bare,Snow and ice
1987,GLC-FCS30D,1146.4825032431788,87503.6587776122,758.9613305953121,720.01023869889,14343.151455225889,4403.49763600797,207.5485340903732,0.5910834463402841,0.0
1992,GLC-FCS30D,1137.1998067795153,87502.82574821715,758.9740971649533,728.8922673618551,14343.861168626274,4403.935761310574,207.62162601273653,0.5910834463402842,0.0
1997,GLC-FCS30D,1191.4408780552203,87535.08717527751,744.2710895462994,855.2252386755636,14177.610928480275,4347.916069402445,231.84153674812663,0.5086427347491096,0.0
2000,GLC-FCS30D,1151.3355850675434,87519.99977884212,642.0896478836304,964.2120132429126,15139.192181774706,3016.8837084998745,620.1243405340481,30.064303075300863,0.0
2005,GLC-FCS30D,1153.612708759831,87452.83320973764,640.4344684545922,1061.888452742548,15077.68816578658,3007.4565342920323,657.9196861248572,32.068333021981275,0.0
2010,GLC-FCS30D,1392.6756932298515,87491.64044378645,660.5451754052199,836.1325086597984,14947.2870398845,2993.148454623856,737.6805958835868,24.791647446882656,0.0
2015,GLC-FCS30D,1317.522920864075,87554.92461804945,663.0017361162041,949.3149916906228,14731.582657671086,3006.292963898943,831.8624994555373,29.39917117426088,0.0
2018,Dynamic World,2571.361696499835,83840.11705495295,783.2307498911171,194.76110390870556,6052.926899868422,12836.896839553438,2139.5562010866247,43.57662471676335,6.826200911454983
2019,Dynamic World,2583.734771465064,84052.95606136812,728.2797516185909,222.5249650190296,5875.8715042028825,12940.143703085636,2421.915948492927,76.9651410820535,2.057453204031432
2020,Dynamic World,2820.6656569130078,83957.13921316939,907.2907844623164,191.7611433318986,4697.014579312486,12560.819237962727,2654.614781867537,51.63363546310054,16.319559318429754
2021,Dynamic World,2767.018960559899,84146.9370073512,1170.4177905546308,194.26918497825835,4712.974162629684,11888.878367949334,2663.9022436973305,47.17548078526155,13.42896420449817
2022,Dynamic World,2836.493790422251,85364.79379966756,954.7980553931094,175.18884151135856,4187.22829075113,10265.11657364966,3065.4404041512344,43.06478549691736,14.696535549569644
2023,Dynamic World,2778.993459687579,86923.87066379671,922.6422126062884,166.0326354955176,5013.241902407157,9968.117778524842,3095.3879374586804,60.77523873810338,2.8523127582390284
2024,Dynamic World,2466.129076568376,84336.09239654198,1108.489001152519,155.2275884742549,4462.383123561274,10605.425923563886,3449.065577718623,63.21928387270773,42.55995462630064
2025,Dynamic World,2904.9754744395286,87346.11507457135,918.202565616023,180.83414404134973,4704.693458550963,8410.555324927125,3375.0056413523826,41.91814159322127,4.064578599662033
